Datum,Product,Schorsingen
2019-10-01 00:00:00,RDW_LAAG,1101
2019-10-01 00:00:00,RDW_NORMAAL,1119
2019-10-01 00:00:00,RDW_BSF,1079
2019-10-01 00:00:00,EXTERN_LAAG,1115
2019-10-01 00:00:00,EXTERN_NORMAAL,1128
2019-10-01 00:00:00,EXTERN_BSF,1089
2019-11-01 00:00:00,RDW_LAAG,1144
2019-11-01 00:00:00,RDW_NORMAAL,1049
2019-11-01 00:00:00,RDW_BSF,1030
2019-11-01 00:00:00,EXTERN_LAAG,1142
2019-11-01 00:00:00,EXTERN_NORMAAL,1168
2019-11-01 00:00:00,EXTERN_BSF,1052
2019-12-01 00:00:00,RDW_LAAG,1119
2019-12-01 00:00:00,RDW_NORMAAL,1134
2019-12-01 00:00:00,RDW_BSF,1003
2019-12-01 00:00:00,EXTERN_LAAG,1154
2019-12-01 00:00:00,EXTERN_NORMAAL,1173
2019-12-01 00:00:00,EXTERN_BSF,1037
2020-01-01 00:00:00,RDW_LAAG,1100
2020-01-01 00:00:00,RDW_NORMAAL,1185
2020-01-01 00:00:00,RDW_BSF,1071
2020-01-01 00:00:00,EXTERN_LAAG,1117
2020-01-01 00:00:00,EXTERN_NORMAAL,1026
2020-01-01 00:00:00,EXTERN_BSF,1049
2020-02-01 00:00:00,RDW_LAAG,1097
2020-02-01 00:00:00,RDW_NORMAAL,1142
2020-02-01 00:00:00,RDW_BSF,1098
2020-02-01 00:00:00,EXTERN_LAAG,1083
2020-02-01 00:00:00,EXTERN_NORMAAL,1157
2020-02-01 00:00:00,EXTERN_BSF,1108
2020-03-01 00:00:00,RDW_LAAG,1175
2020-03-01 00:00:00,RDW_NORMAAL,1083
2020-03-01 00:00:00,RDW_BSF,1082
2020-03-01 00:00:00,EXTERN_LAAG,1137
2020-03-01 00:00:00,EXTERN_NORMAAL,1085
2020-03-01 00:00:00,EXTERN_BSF,1141
2020-04-01 00:00:00,RDW_LAAG,1080
2020-04-01 00:00:00,RDW_NORMAAL,1197
2020-04-01 00:00:00,RDW_BSF,1030
2020-04-01 00:00:00,EXTERN_LAAG,1016
2020-04-01 00:00:00,EXTERN_NORMAAL,1035
2020-04-01 00:00:00,EXTERN_BSF,1183
2020-05-01 00:00:00,RDW_LAAG,1126
2020-05-01 00:00:00,RDW_NORMAAL,1000
2020-05-01 00:00:00,RDW_BSF,1161
2020-05-01 00:00:00,EXTERN_LAAG,1061
2020-05-01 00:00:00,EXTERN_NORMAAL,1057
2020-05-01 00:00:00,EXTERN_BSF,1138
2020-06-01 00:00:00,RDW_LAAG,1037
2020-06-01 00:00:00,RDW_NORMAAL,1155
2020-06-01 00:00:00,RDW_BSF,1148
2020-06-01 00:00:00,EXTERN_LAAG,1045
2020-06-01 00:00:00,EXTERN_NORMAAL,1056
2020-06-01 00:00:00,EXTERN_BSF,1159
2020-07-01 00:00:00,RDW_LAAG,1073
2020-07-01 00:00:00,RDW_NORMAAL,1037
2020-07-01 00:00:00,RDW_BSF,1168
2020-07-01 00:00:00,EXTERN_LAAG,1019
2020-07-01 00:00:00,EXTERN_NORMAAL,1186
2020-07-01 00:00:00,EXTERN_BSF,1091
2020-08-01 00:00:00,RDW_LAAG,1166
2020-08-01 00:00:00,RDW_NORMAAL,1010
2020-08-01 00:00:00,RDW_BSF,1186
2020-08-01 00:00:00,EXTERN_LAAG,1141
2020-08-01 00:00:00,EXTERN_NORMAAL,1006
2020-08-01 00:00:00,EXTERN_BSF,1189
2020-09-01 00:00:00,RDW_LAAG,1081
2020-09-01 00:00:00,RDW_NORMAAL,1076
2020-09-01 00:00:00,RDW_BSF,1052
2020-09-01 00:00:00,EXTERN_LAAG,1115
2020-09-01 00:00:00,EXTERN_NORMAAL,1037
2020-09-01 00:00:00,EXTERN_BSF,1095
2020-10-01 00:00:00,RDW_LAAG,1009
2020-10-01 00:00:00,RDW_NORMAAL,1144
2020-10-01 00:00:00,RDW_BSF,1139
2020-10-01 00:00:00,EXTERN_LAAG,1022
2020-10-01 00:00:00,EXTERN_NORMAAL,1149
2020-10-01 00:00:00,EXTERN_BSF,1181
2020-11-01 00:00:00,RDW_LAAG,1100
2020-11-01 00:00:00,RDW_NORMAAL,1058
2020-11-01 00:00:00,RDW_BSF,1141
2020-11-01 00:00:00,EXTERN_LAAG,1087
2020-11-01 00:00:00,EXTERN_NORMAAL,1128
2020-11-01 00:00:00,EXTERN_BSF,1138
2020-12-01 00:00:00,RDW_LAAG,1179
2020-12-01 00:00:00,RDW_NORMAAL,1007
2020-12-01 00:00:00,RDW_BSF,1039
2020-12-01 00:00:00,EXTERN_LAAG,1093
2020-12-01 00:00:00,EXTERN_NORMAAL,1027
2020-12-01 00:00:00,EXTERN_BSF,1085
